,Unnamed: 0,season_no,season_title,uploading_date,rate,time,E,title
134,134,6,Project Alaska,1,691723,28,89,“The road is bad like this everywhere?” - Mexico 🇲🇽 
135,135,6,Project Alaska,1,849416,22,90,"""Don't go there, very dangerous. A lot of cartel activity"" - Mexico 🇲🇽 "
136,136,6,Project Alaska,1,2267228,27,91,Area 51 in Mexico: the ZONE of SILENCE 🇲🇽 
137,137,6,Project Alaska,1,2581185,20,92,Motorcycling Mexico's most dangerous state : Chihuahua 
138,138,6,Project Alaska,1,819735,22,93,Entering Cartel Territory - off-roading the COPPER CANYON in Mexico 
139,139,6,Project Alaska,1,693802,25,94,Getting out of Mexico's Copper Canyon into SINALOA 
140,140,6,Project Alaska,1,972420,23,95,Leaving SINALOA in Mexico during nighttime 🇲🇽 
141,141,6,Project Alaska,0,706490,22,96,Brand new aggressive offroad tires to ride BAJA - MEXICO 
142,142,6,Project Alaska,0,734603,20,97,Searching for FUEL in the BAJA CALIFORNIA desert of Mexico 
143,143,6,Project Alaska,0,762089,24,98,"I ended up in a rally through Baja, Mexico by accident "
144,144,6,Project Alaska,0,687540,27,99,They only live here for 3 months each year 
145,145,6,Project Alaska,0,1641066,28,100,Crossing MEXICO - USA 🇺🇸 land border on a motorcycle 
146,146,5,Southern Africa,2,641037,9,1,I AM BACK!! 
147,147,5,Southern Africa,2,1183511,16,2,I bought a South African motorcycle! 🇿🇦
148,148,5,Southern Africa,2,631179,12,3,Ready to hit African dirt roads 🇿🇦 
149,149,5,Southern Africa,2,580933,17,4,My first motorcycle ride in South Africa 🇿🇦 
150,150,5,Southern Africa,2,1978758,22,5,I CAN'T continue... 🇿🇦 
151,151,5,Southern Africa,2,718522,15,6,I woke up to this.. 🇿🇦
152,152,5,Southern Africa,2,540733,19,7,ADVENTURE riding some of South Africa's incredible dirt roads! 🇿🇦 
153,153,5,Southern Africa,2,481548,19,8,The BIGGEST green canyon in the world 🇿🇦 
154,154,5,Southern Africa,2,419660,20,9,2 BILLION ounces of GOLD were mined here 🇿🇦 
155,155,5,Southern Africa,2,470721,16,10,The long way round SWAZILAND 
156,156,5,Southern Africa,2,417190,22,11,Meeting the ENDANGERED cats of South Africa 🇿🇦
157,157,5,Southern Africa,2,364511,18,12,Riding through the heart of KWAZULU NATAL 🇿🇦
158,158,5,Southern Africa,2,359766,18,13,South Africa’s DRAGONS MOUNTAIN 🏔 
159,159,5,Southern Africa,2,641109,29,14,Attempt to ride Sani Pass on a Honda CRF250L - it's HECTIC!! 
160,160,5,Southern Africa,2,436335,18,15,Naude's Nek Pass - worse than Sani Pass?? 
161,161,5,Southern Africa,2,421465,19,16,I am joining a XHOSA community in South Africa 🇿🇦 
162,162,5,Southern Africa,2,275868,29,17,I went to see a Xhosa herbalist 🇿🇦 
163,163,5,Southern Africa,2,231997,26,18,Meeting the headman of a Xhosa village 
164,164,5,Southern Africa,2,331400,21,19,Riding solo back towards the mountains of SOUTH AFRICA 
165,165,5,Southern Africa,2,326292,18,20,This day turned out differently... 
166,166,5,Southern Africa,2,467729,22,21,Running out of petrol in Baviaanskloof - oh no...  
167,167,5,Southern Africa,2,380364,23,22,BACK ON THE ROAD 
168,168,5,Southern Africa,2,475443,22,23,The ROAD TO HELL on a Honda CRF250L 🇿🇦
169,169,5,Southern Africa,2,392934,19,24,Nothing is what is seems in South Africa 🇿🇦 
170,170,5,Southern Africa,2,360899,21,25,A 5.000 kilometers solo journey through South-Africa! 🇿🇦 
171,171,5,Southern Africa,2,315938,11,26,The final ride to CAPETOWN!! 🇿🇦 
172,172,5,Southern Africa,2,329930,16,27,The ghost ship FLYING DUTCHMAN still haunts these waters... 🇿🇦 
173,173,5,Southern Africa,2,334864,18,28,Why is Table mountain in Cape Town FLAT?! 
174,174,5,Southern Africa,2,2154028,23,29,I can't believe they found THIS in South Africa!! 
175,175,5,Southern Africa,2,347586,24,30,How did I end up on the BEACH?! 
176,176,5,Southern Africa,2,601827,24,31,Crossing South Africa's Karoo desert. ALONE. 
177,177,5,Southern Africa,2,337047,21,32,Why did petroleum engineers come here?! 
178,178,5,Southern Africa,2,347326,19,33,I entered Namaqualand - is this another planet? 
179,179,5,Southern Africa,2,307685,20,34,I entered South Africa's Diamond Territory 
180,180,5,Southern Africa,2,423145,23,35,How did I get myself into this situation?! 
181,181,5,Southern Africa,2,401464,20,36,190 kilometers struggle through SAND in South African desert 
182,182,5,Southern Africa,2,357908,16,37,Preparing to motorcycle NAMIBIA on my Honda CRF250L 
183,183,5,Southern Africa,2,1508312,27,38,Crossing into NAMIBIA 
184,184,5,Southern Africa,2,358656,21,39,I had to ride HARD ENDURO to get here! 
185,185,5,Southern Africa,2,408581,19,40,Shall I just do it? 
186,186,5,Southern Africa,2,362151,18,41,There are around 300 of them in Namibia! 
187,187,5,Southern Africa,2,364475,17,42,An abandoned diamond mining town in Namibia 
188,188,5,Southern Africa,2,331610,22,43,A geological illusion in Namibia 🇳🇦 
189,189,5,Southern Africa,2,369368,25,44,The day I became a Namibian cattle farmer 👩‍🌾 
190,190,5,Southern Africa,2,399321,23,45,Crossing the NAMIB DESERT 🌵
191,191,5,Southern Africa,2,410880,23,46,I have to get this fixed first! 🔧 
192,192,5,Southern Africa,2,403452,20,47,I can't believe I saw one!! So incredibly lucky! 🍀 
193,193,5,Southern Africa,2,328054,20,48,A Namibian APOCALYPSE ☠️ 
194,194,5,Southern Africa,2,414475,26,49,Caught in a sandstorm in Namibia 🇳🇦 
195,195,5,Southern Africa,1,320290,23,50,Rescuing seals stuck in fishing lines in Namibia 🦭 
196,196,5,Southern Africa,1,352142,24,51,Finding gemstones in Namibia 💎
197,197,5,Southern Africa,1,487397,25,52,One of the most inhospitable places on earth 🌏 
198,198,5,Southern Africa,1,314699,24,53,Only one plant can grow here. EXTREME NAMIBIA! 🌋 
199,199,5,Southern Africa,1,656449,22,54,Change my CRF250L for a Honda Africa Twin from 1988 with 150.000 kilometres?! 
200,200,5,Southern Africa,1,305749,20,55,Hidden secrets of Namibia! 
201,201,5,Southern Africa,1,253260,17,56,Finding Namibia's DESERT ELEPHANTS! 
202,202,5,Southern Africa,1,446148,25,57,How a little off-roading got me into trouble.. 
203,203,5,Southern Africa,1,273597,21,58,Entering Namibia's TRIBAL LANDS 
204,204,5,Southern Africa,1,2376833,21,59,How a Himba tribe reacts when they meet me 
205,205,5,Southern Africa,1,379597,17,60,Solo off-roading at the border between Namibia and Angola 
206,206,5,Southern Africa,1,306242,16,61,He wants to come with me and I say: THANK YOU! 
207,207,5,Southern Africa,1,298398,17,62,This ELEPHANT is going to CHARGE! 🐘 
208,208,5,Southern Africa,1,402064,23,63,Face to face with THREE MALE LIONS in Namibia 🦁
209,209,5,Southern Africa,1,270924,20,64,Onboard the 24/7 Anti-Poaching Unit 🦏
210,210,5,Southern Africa,1,350307,24,65,Let's change to four wheels instead of two! 
211,211,5,Southern Africa,1,265575,19,66,Crossing into BOTSWANA 
212,212,5,Southern Africa,1,283726,24,67,The realm of the ancestors. Botswana. 
213,213,5,Southern Africa,1,239508,17,68,An eerie swamp in Botswana 
214,214,5,Southern Africa,1,425223,30,69,Is it coming after me?? 🐘 
215,215,5,Southern Africa,1,402550,30,70,CAREFUL!! 
216,216,5,Southern Africa,1,417454,34,71,I raced a Dakar Rally LEGEND! 
217,217,5,Southern Africa,1,306439,21,72,The hardest place to find in Botswana! 
218,218,5,Southern Africa,1,1081258,21,73,Go off the main track and they will shoot you 
219,219,5,Southern Africa,1,1068189,18,74,Where is your permit?! 
220,220,5,Southern Africa,1,452435,20,75,The entire town is out of petrol in BOTSWANA 
221,221,5,Southern Africa,1,688944,17,76,Crossing into ZIMBABWE 
222,222,5,Southern Africa,1,271236,18,77,To the heart of ZIMBABWE 
223,223,5,Southern Africa,1,306995,21,78,Trying to eat Mopane Worms for the first time. Zimbabwe. 
224,224,5,Southern Africa,1,259611,13,79,These are the dark caves of Zimbabwe. 
225,225,5,Southern Africa,1,325194,20,80,He wants to jump on the back! 
226,226,5,Southern Africa,1,307176,20,81,These are the mountains of ZIMBABWE 
227,227,5,Southern Africa,1,281349,20,82,Got into bad weather in the Zimbabwean mountains 
228,228,5,Southern Africa,1,463257,25,83,These roads in Zimbabwe are a DISASTER 
229,229,5,Southern Africa,1,354062,22,84,Motorcycling the wild Chimanimani mountains in ZIMBABWE 
230,230,5,Southern Africa,1,380319,18,85,The best ruins I have EVER seen?!: GREAT ZIMBABWE 
231,231,5,Southern Africa,1,688366,26,86,Attempting to leave Zimbabwe - will they let me go? 
232,232,5,Southern Africa,1,2075226,23,-1,22.000 kilometer solo motorcycle journey through Africa - ITCHY BOOTS 
233,233,5,Southern Africa,1,504332,26,-1,READY for the KALAHARI RALLY?! 
234,234,5,Southern Africa,1,399974,21,-1,Itchy Boots rides Kalahari Rally 2021 - SUPER SPECIAL 
235,235,5,Southern Africa,1,306642,24,-1,Itchy Boots rides KALAHARI RALLY - Stage 1. TROUBLE EARLY ON! 
236,236,5,Southern Africa,1,349367,27,-1,Itchy Boots rides KALAHARI RALLY - Stage 2. Racing with wild horses. 
237,237,5,Southern Africa,1,315992,27,-1,Riding KALAHARI DESERT DUNES on a CRF250L - Stage 3 
238,238,5,Southern Africa,1,330551,23,-1,KTM EXC 450 vs. Honda CRF250L in KALAHARI RALLY 2021 
239,239,5,Southern Africa,1,345388,25,-1,PROBLEMS on the longest stage.. Itchy Boots rides Kalahari Rally - Stage 5 
240,240,5,Southern Africa,1,611545,16,-1,I BROKE my Honda CRF250L into two pieces. Kalahari Rally - Final Stage 6. 
241,241,5,Southern Africa,1,966940,9,-1,It's over. Itchy Boots - SEASON 5 FINALE 
242,242,4,The Dutch Moto Scene,2,392692,19,1,Itchy Boots goes mini-bike!! 
243,243,4,The Dutch Moto Scene,2,489574,23,2,Racing TT Assen on a Honda CB500x !!  
244,244,4,The Dutch Moto Scene,2,2213044,28,3,A dream come true... 
245,245,4,The Dutch Moto Scene,2,328130,21,4,Training for new adventures around the world 
246,246,4,The Dutch Moto Scene,2,377451,25,5,I learned how to motocross!! 
247,247,4,The Dutch Moto Scene,2,224785,19,6,Dutch Flattrack: the race is ON! 
248,248,4,The Dutch Moto Scene,2,591269,24,7,Itchy Boots First ride on an Electric Motorcycle as Park Ranger Assistant 
249,249,4,The Dutch Moto Scene,2,241712,18,-1,Itchy Boots CHRISTMAS SPECIAL 
250,250,4,The Dutch Moto Scene,2,1679023,26,8,I joined the POLICE ACADEMY 
251,251,4,The Dutch Moto Scene,2,423967,28,9,I can’t believe they MOTOCROSS at the POLICE ACADEMY!! 
252,252,4,The Dutch Moto Scene,2,520376,28,10,Itchy Boots tries Enduro - THIS IS HARD! 
253,253,3,"Denmark, Iceland, Norway & Sweden",2,225440,1,-1,Season 3 - SNEAK PREVIEW! 
254,254,3,"Denmark, Iceland, Norway & Sweden",2,610965,13,1,Let the adventure BEGIN! 
255,255,3,"Denmark, Iceland, Norway & Sweden",2,508726,10,2,Crossing into DENMARK 
256,256,3,"Denmark, Iceland, Norway & Sweden",2,357274,14,3,They moved the entire lighthouse!! 
257,257,3,"Denmark, Iceland, Norway & Sweden",2,509434,16,4,"Got tested, broke the door and got sick. What a day. "
258,258,3,"Denmark, Iceland, Norway & Sweden",2,467450,13,5,Passing the remote FAROE ISLANDS 
259,259,3,"Denmark, Iceland, Norway & Sweden",2,456590,14,6,I visit the Icelandic Queen of the ELVES! 
260,260,3,"Denmark, Iceland, Norway & Sweden",2,437993,16,7,Riding through horrendous weather in ICELAND 
261,261,3,"Denmark, Iceland, Norway & Sweden",2,397156,17,8,"Frozen trolls, Pseudo-Craters and Fjords - Iceland has it all!! "
262,262,3,"Denmark, Iceland, Norway & Sweden",2,433959,17,9,Motorcycling through the heart of ICELAND 
263,263,3,"Denmark, Iceland, Norway & Sweden",2,370060,17,10,To Iceland's WEST FJORDS - by boat 
264,264,3,"Denmark, Iceland, Norway & Sweden",2,484095,14,11,I've got ICELAND to myself! 
265,265,3,"Denmark, Iceland, Norway & Sweden",2,330384,17,12,I CANNOT believe this day of motorcycling Iceland!! 
266,266,3,"Denmark, Iceland, Norway & Sweden",2,333979,12,13,Game of Thrones film location in Iceland 🇮🇸 
267,267,3,"Denmark, Iceland, Norway & Sweden",2,294808,13,14,Spotting Wildlife in Iceland 🇮🇸  
268,268,3,"Denmark, Iceland, Norway & Sweden",2,346946,12,15,Iceland to Denmark with M/S Norröna 🇩🇰 
269,269,3,"Denmark, Iceland, Norway & Sweden",2,300593,11,16,Denmark has the BEST! 🇩🇰 
270,270,3,"Denmark, Iceland, Norway & Sweden",2,355792,16,17,Sweden's most mysterious  rocks 🇸🇪  
271,271,3,"Denmark, Iceland, Norway & Sweden",2,424188,14,18,This is Swedish FIKA 🇸🇪 
272,272,3,"Denmark, Iceland, Norway & Sweden",2,329428,13,19,He travels Sweden on a 150cc VESPA! 🇸🇪 
273,273,3,"Denmark, Iceland, Norway & Sweden",2,1774089,15,20,Swedish Police are the BEST! 🇸🇪 
274,274,3,"Denmark, Iceland, Norway & Sweden",2,764463,17,21,I tried World’s SMELLIEST food in Sweden 🇸🇪
275,275,3,"Denmark, Iceland, Norway & Sweden",2,542998,14,22,Solo Motorcycling the Swedish TET - Trans Euro Trail 🇸🇪 
276,276,3,"Denmark, Iceland, Norway & Sweden",2,439482,15,23,New SHOES for my Honda CB500x 🏍  
277,277,3,"Denmark, Iceland, Norway & Sweden",2,356037,19,24,Meeting Sami people in Swedish Lapland 🇸🇪  
278,278,3,"Denmark, Iceland, Norway & Sweden",2,361492,20,25,Swedish Lapland by Helicopter 🇸🇪 🚁 
279,279,3,"Denmark, Iceland, Norway & Sweden",2,1098968,17,26,"Refused at the border - Finland, NO! 🇫🇮  "
280,280,3,"Denmark, Iceland, Norway & Sweden",2,520396,15,27,700-kilometer solo motorcycle journey to NORTH CAPE 🇳🇴 
281,281,3,"Denmark, Iceland, Norway & Sweden",2,342117,14,28,"7,000 year old rock art in Norway 🇳🇴 "
282,282,3,"Denmark, Iceland, Norway & Sweden",2,387882,17,29,Discover WILD & RUGGED Norway 🇳🇴 
283,283,3,"Denmark, Iceland, Norway & Sweden",2,516294,20,30,Motorcycling in Norway? 🇳🇴 Don't miss out on THIS place!! 
284,284,3,"Denmark, Iceland, Norway & Sweden",2,503865,23,31,Is the Arctic Circle truly here?! 
285,285,3,"Denmark, Iceland, Norway & Sweden",2,401879,17,-1,1700 kilometres in 4 days: I'm BACK! 
286,286,3,"Denmark, Iceland, Norway & Sweden",2,919731,17,33,Upgrading my Honda CB500X in the LARGEST motorcycle shop in The Netherlands 
287,287,0,['Adventure Intermezzo: Tour of The Netherlands'],3,465245,15,1,I am going to show you MY country - Eps. 1 
288,288,0,['Adventure Intermezzo: Tour of The Netherlands'],3,261980,18,2,Riding a motorcycle at 7 meters BELOW sea level?! - Eps. 2 
289,289,0,['Adventure Intermezzo: Tour of The Netherlands'],3,816913,17,3,A tragic day that affected my family. 
290,290,0,['Adventure Intermezzo: Tour of The Netherlands'],3,358247,15,4,Never thought I would see this: Inside the vault. 
291,291,0,['Adventure Intermezzo: Tour of The Netherlands'],3,347575,16,5,75 Years of Freedom 
292,292,0,['Adventure Intermezzo: Tour of The Netherlands'],3,2379922,11,6,I bought a new motorcycle! 
293,293,0,['Adventure Intermezzo: Tour of The Netherlands'],3,541373,6,7,New Motorcycle NAME revealed! 
