,season,episode,date,time,rating
22,SEASON 7 - Return to Africa,Ancient desert library with a secret key |S7 - E23| , 3 months , 22 ,"s 467,336 views"
23,SEASON 7 - Return to Africa,Brand new road already swallowed by desert in Mauritania 🇲🇷 |S7 - E24| , 3 months , 25 ,"s 1,250,256 views"
24,SEASON 7 - Return to Africa,Chaos at Mauritania - Senegal land border |S7 - E25| , 2 months , 22 ,"s 701,518 views"
25,SEASON 7 - Return to Africa,River crossing with motorcycle to enter SENEGAL |S7 - E26| , 2 months , 26 ,"s 603,899 views"
26,SEASON 7 - Return to Africa,First leg of the African Continent COMPLETE - Reaching DAKAR [S7 - E27| , 2 months , 20 ,"s 619,999 views"
27,SEASON 7 - Return to Africa,Fixing up my bike to continue down Africa - |S7E28| , 2 months , 20 ,"s 556,912 views"
28,SEASON 7 - Return to Africa,My motorcycle is BANNED here in Senegal 🇸🇳 |S7E29| , 2 months , 17 ,"s 608,969 views"
29,SEASON 7 - Return to Africa,Getting across the SALOUM DELTA in Senegal is not as easy as I thought |S7E30| , 2 months , 22 ,"s 456,796 views"
30,SEASON 7 - Return to Africa,I become a free mototaxi driver on an island in Senegal 🇸🇳 |S7E31| , 1 month , 22 ,"s 506,538 views"
31,SEASON 7 - Return to Africa,Gambian men cannot believe their eyes 🇬🇲 |S7E32| , 1 month , 19 ,"s 1,042,821 views"
32,SEASON 7 - Return to Africa,These river crossings are getting RIDICULOUS |S7E33| , 1 month , 25 ,"s 518,285 views"
33,SEASON 7 - Return to Africa,Finding WILD Chimpanzees with Captain Hippo |S7E34| , 1 month , 18 ,"s 349,501 views"
34,SEASON 7 - Return to Africa,Will I get the right stamps to get out of The GAMBIA?! |S7E35| , 1 month , 21 ,"s 460,430 views"
35,SEASON 7 - Return to Africa,I need to speak PORTUGUESE here in GUINEA - BISSAU |S7E36| , 1 month , 22 ,"s 501,263 views"
36,SEASON 7 - Return to Africa,EPIC border crossing in Africa to enter Guinea |S7E37| , 1 month , 25 ,"s 440,436 views"
37,SEASON 7 - Return to Africa,My motorcycle and I get an absolute beating in the highlands of GUINEA 🇬🇳 |S7E38| , 1 month , 21 ,"s 441,979 views"
38,SEASON 7 - Return to Africa,The INSANE escape mechanism of the Guinean People 🇬🇳  |S7E39| , 4 weeks , 19 ,"s 667,595 views"
39,SEASON 7 - Return to Africa,My journey brings me to the edge of GUINEA |S7E40| , 3 weeks , 20 ,"s 474,803 views"
40,SEASON 7 - Return to Africa,Didn’t think I would enter SIERRA LEONE 🇸🇱 |S7E41| , 3 weeks , 20 ,"s 438,453 views"
41,SEASON 7 - Return to Africa,My motorcycle has a serious problem. No help in Sierra Leone. |S7E42| , 2 weeks , 15 ,"s 541,270 views"
42,SEASON 7 - Return to Africa,I shouldn't have taken the single track. Off-roading Sierra Leone 🇸🇱 |S7E43| , 12 days , 23 ,"s 524,676 views"
43,SEASON 7 - Return to Africa,300.000 people are digging for diamonds in Sierra Leone 🇸🇱 |S7E44| , 8 days , 21 ,"s 419,483 views"
44,SEASON 7 - Return to Africa,The money is worth nothing here 🇸🇱 |S7E45| , 5 days , 22 ,"s 558,778 views"
45,SEASON 7 - Return to Africa,Lebanese car mechanic trying to fix my CRF300 Rally in Liberia |S7E46| , 1 day , 22 ,"s 406,494 views"
46,SEASON 6 - Project Alaska,I bought a new motorcycle for more Itchy Boots adventures!! |S6 - E1| , 1 year , 19 ,"s 4,547,879 views"
47,SEASON 6 - Project Alaska,Getting ready to return to South America! |S6 - Eps. 2| , 1 year , 19 ,"s 842,995 views"
48,SEASON 6 - Project Alaska,Shipping my motorcycle to South America.. by plane! |S6 - E3| , 1 year , 19 ,"s 1,106,414 views"
49,SEASON 6 - Project Alaska,"Trying to get my motorcycle out of the airport in Quito, Ecuador! |S6 - E4| ", 1 year , 8 ,"s, 50 seconds 745,501 views"
50,SEASON 6 - Project Alaska,Motorcycle adventures in Ecuador BEGIN!! |S6 - E5| , 1 year , 22 ,"s 857,880 views"
51,SEASON 6 - Project Alaska,This river crossing is like BLIND ENDURO |S6 - E6| , 1 year , 21 ,"s 748,437 views"
52,SEASON 6 - Project Alaska,You have to pay to enter this Ecuadorian village! |S6 - E7| , 1 year , 16 ,"s 629,262 views"
53,SEASON 6 - Project Alaska,I hope this volcano won't erupt today! |S6 - E8| , 1 year , 20 ,"s 686,877 views"
54,SEASON 6 - Project Alaska,Finding the most expensive animal on Ecuadorian mountain market |S6 - E9| , 1 year , 23 ,"s 497,755 views"
55,SEASON 6 - Project Alaska,You are the closest to outer space on THIS place on earth! |S6 - E10| , 1 year , 21 ,"s 959,788 views"
56,SEASON 6 - Project Alaska,I can't believe the ingenuity of the Inca Temple of the Sun!! |S6 - Eps. 11| , 1 year , 19 ,"s 636,432 views"
57,SEASON 6 - Project Alaska,Don't go to this part of Ecuador! |S6-E12| , 1 year , 23 ,"s 1,643,195 views"
58,SEASON 6 - Project Alaska,From 4000 meters altitude straight back into the Ecuadorian JUNGLE! |S6 - E13| , 1 year , 22 ,"s 676,229 views"
59,SEASON 6 - Project Alaska,Ending 2021 in the AMAZON 🇪🇨 |S6 - E14| , 1 year , 13 ,"s, 58 seconds 580,716 views"
60,SEASON 6 - Project Alaska,I stayed with the indigenous Achuar and Shuar people of Ecuador |S6 - E15| , 1 year , 19 ,"s 461,495 views"
61,SEASON 6 - Project Alaska,Crossing an amazon river with my CRF300 Rally. REALLY?! |S6 - E16| , 1 year , 19 ,"s 1,233,912 views"
62,SEASON 6 - Project Alaska,Motorcycling the mighty COTOPAXI volcano in Ecuador |S6 - E17| , 1 year , 14 ,"s, 15 seconds 534,762 views"
63,SEASON 6 - Project Alaska,Trying to cross the border into COLOMBIA 🇨🇴 |S6 - E18| , 1 year , 26 ,"s 1,360,032 views"
64,SEASON 6 - Project Alaska,"Surviving Colombia’s ""TRAMPOLINE OF DEATH"" |S6 - E19| ", 1 year , 19 ,"s 1,933,616 views"
65,SEASON 6 - Project Alaska,I got my CRF300Rally stuck in mud in COLOMBIA 🇨🇴 |S6 - E20| , 1 year , 22 ,"s 755,381 views"
66,SEASON 6 - Project Alaska,From JUNGLE into the DESERT of Colombia 🇨🇴 |S6 - E21| , 1 year , 19 ,"s 580,059 views"
67,SEASON 6 - Project Alaska,Don’t ride off the edge!! This is Colombia 🇨🇴  |S6 - E22| , 1 year , 18 ,"s 638,356 views"
68,SEASON 6 - Project Alaska,Not what I expected to find in these remote mountains in Colombia 🇨🇴 |S6-E23| , 1 year , 18 ,"s 671,466 views"
69,SEASON 6 - Project Alaska,Attempt to cross an abandoned railway bridge in Colombia 🇨🇴 |S6-E24| , 1 year , 22 ,"s 1,166,325 views"
70,SEASON 6 - Project Alaska,My plan to cross the DARIEN GAP. |S6-E25| , 1 year , 23 ,"s 690,519 views"
71,SEASON 6 - Project Alaska,A NERVE-RACKING boat ride avoiding the Darien Gap |S6-E26| , 1 year , 24 ,"s 815,856 views"
72,SEASON 6 - Project Alaska,Crossing the border into PANAMA 🇵🇦 past the Darien Gap |S6-E27| , 1 year , 18 ,"s 560,088 views"
73,SEASON 6 - Project Alaska,Race against time to import my motorcycle |S6-E28| , 1 year , 25 ,"s 598,358 views"
74,SEASON 6 - Project Alaska,You won't believe how genius this is. |S6-E29| , 1 year , 19 ,"s 657,618 views"
75,SEASON 6 - Project Alaska,How I ended up in a riverbed in the jungle of Panama |S6-E30| , 1 year , 26 ,"s 611,815 views"
76,SEASON 6 - Project Alaska,I don't know what I am doing. Mountains of Panama. |S6-E31| , 1 year , 19 ,"s 567,953 views"
77,SEASON 6 - Project Alaska,I am lucky to get help. |S6-E32| , 1 year , 19 ,"s 727,240 views"
78,SEASON 6 - Project Alaska,They won't let me climb the volcano. |S6-E33| , 1 year , 20 ,"s 485,786 views"
79,SEASON 6 - Project Alaska,Can't find the trail on this jungle island in Panama! |S6-E34| , 1 year , 22 ,"s 585,064 views"
80,SEASON 6 - Project Alaska,I joined the indigenous Naso tribe of Panama |S6-E35| , 1 year , 27 ,"s 566,868 views"
81,SEASON 6 - Project Alaska,Crossing into COSTA RICA 🇨🇷 |S6-E36| , 1 year , 18 ,"s 673,850 views"
82,SEASON 6 - Project Alaska,They won't let me get any closer - this volcano in Costa Rica just got active! |S6-E37| , 1 year , 25 ,"s 551,650 views"
83,SEASON 6 - Project Alaska,I can only stay here for 20 MINUTES |S6-E38| , 1 year , 20 ,"s 494,793 views"
84,SEASON 6 - Project Alaska,Crossing three rivers in Costa Rica with CROCODILES 🇨🇷 |S6-E39| , 1 year , 19 ,"s 608,558 views"
85,SEASON 6 - Project Alaska,Change of plans. |S6-E40| , 1 year , 24 ,"s 543,824 views"
86,SEASON 6 - Project Alaska,Crossing into NICARAGUA 🇳🇮 |S6-E41| , 1 year , 25 ,"s 623,607 views"
87,SEASON 6 - Project Alaska,Should have better secured my bike!! Nicaragua 🇳🇮 |S6-E42| , 1 year , 25 ,"s 616,895 views"
88,SEASON 6 - Project Alaska,"The ancient, secret map of Nicaragua 🇳🇮 |S6-E43| ", 1 year , 25 ,"s 414,735 views"
89,SEASON 6 - Project Alaska,Making the impossible possible in Nicaragua 🇳🇮 |S6-E44| , 1 year , 23 ,"s 524,234 views"
90,SEASON 6 - Project Alaska,Nobody ever brought a motorcycle here in Nicaragua 🇳🇮 |S6-E45| , 1 year , 23 ,"s 716,276 views"
91,SEASON 6 - Project Alaska,Hunting for the lost city of Nicaragua with the Rama Indians |S6-E46| , 1 year , 24 ,"s 458,228 views"
92,SEASON 6 - Project Alaska,First on-road surgery for my CRF300 rally! |S6-E47| , 1 year , 22 ,"s 587,927 views"
93,SEASON 6 - Project Alaska,I entered an underground gold mine in Nicaragua |S6-E48| , 1 year , 30 ,"s 559,510 views"
94,SEASON 6 - Project Alaska,Boarding down an active volcano in Nicaragua |S6-E49| , 1 year , 28 ,"s 497,902 views"
95,SEASON 6 - Project Alaska,This is my final ride in Nicaragua |S6-E50| , 1 year , 19 ,"s 432,294 views"
96,SEASON 6 - Project Alaska,Crossing the border into Honduras |S6-E51| , 1 year , 20 ,"s 565,026 views"
97,SEASON 6 - Project Alaska,They try to trap me in Honduras 🇭🇳  DANGEROUS! |S6-E52| , 1 year , 27 ,"s 5,916,220 views"
98,SEASON 6 - Project Alaska,A mysterious cave in Honduras 🇭🇳 - The cave of the GLOWING SKULLS |S6-E53| , 1 year , 23 ,"s 660,072 views"
99,SEASON 6 - Project Alaska,Forced to ride my motorcycle in the nighttime in Honduras. |S6-E54| , 1 year , 16 ,"s 590,570 views"
100,SEASON 6 - Project Alaska,Nobody knows this deserted island in Honduras 🇭🇳 |S6-E55| , 1 year , 23 ,"s 904,487 views"
101,SEASON 6 - Project Alaska,It took me 11 hours to find this place in Honduras 🇭🇳 |S6-E56| , 1 year , 21 ,"s 501,601 views"
102,SEASON 6 - Project Alaska,The biggest mystery of Honduras 🇭🇳 |S6-E57| , 1 year , 25 ,"s 1,311,607 views"
103,SEASON 6 - Project Alaska,Crossing the border Honduras - El Salvador |S6-E58| , 1 year , 23 ,"s 747,356 views"
104,SEASON 6 - Project Alaska,First service HONDA CRF300Rally after 12.000 kilometers. El Salvador 🇸🇻 |S6-E59| , 1 year , 22 ,"s 763,504 views"
105,SEASON 6 - Project Alaska,Trying to make it out of El Salvador - one day ride to border 🇸🇻 |S6-E60| , 1 year , 20 ,"s 684,802 views"
106,SEASON 6 - Project Alaska,Charly Sinewan helps me get my illegal motorcycle out of El Salvador! |S6-E61| , 1 year , 22 ,"s 1,119,215 views"
107,SEASON 6 - Project Alaska,I cross the border alone in GUATEMALA |S6-E62| , 1 year , 22 ,"s 1,053,108 views"
108,SEASON 6 - Project Alaska,I have to cross these LAVA FIELDS of active Volcano Pacaya |S6-E63| , 1 year , 25 ,"s 611,996 views"
109,SEASON 6 - Project Alaska,Attempt to reach Lake Atitlan in Guatemala is harder than expected |S6-E64| , 1 year , 24 ,"s 702,359 views"
110,SEASON 6 - Project Alaska,Guatemalan POLICE escorts Dutch biker and her motorcycle through area with BANDITS |S6-E65| , 1 year , 24 ,"s 2,885,049 views"
111,SEASON 6 - Project Alaska,More damage to my CRF300L Rally in GUATEMALA |S6-E66| , 1 year , 28 ,"s 1,539,912 views"
112,SEASON 6 - Project Alaska,Only my motorcycle can pass here - I have to find an IXIL house in GUATEMALA |S6-67| , 1 year , 27 ,"s 762,388 views"
113,SEASON 6 - Project Alaska,An insane search on motorcycle for one lady in the mountains of GUATEMALA |S6-E68| , 1 year , 28 ,"s 794,600 views"
114,SEASON 6 - Project Alaska,I found a HIDDEN PARADISE in the mountains of GUATEMALA |S6-E69| , 1 year , 23 ,"s 1,413,676 views"
115,SEASON 6 - Project Alaska,You won't believe this THERMAL WATERFALL in Guatemala |S6-E70| , 1 year , 23 ,"s 633,794 views"
116,SEASON 6 - Project Alaska,Solo motorcycle adventure in GUATEMALAN jungle gone wrong |S6-E71| , 1 year , 27 ,"s 1,924,753 views"
117,SEASON 6 - Project Alaska,The long lost Mayan temples of Nakum - Motorcycling deep into Guatemalan Jungle. |S6-E72| , 1 year , 36 ,"s 993,411 views"
118,SEASON 6 - Project Alaska,Crossing the GUATEMALA - BELIZE land border |S6-E73| , 1 year , 23 ,"s 788,521 views"
119,SEASON 6 - Project Alaska,They won’t let me through (security cameras). Belize 🇧🇿 |S6-E74| , 1 year , 23 ,"s 661,665 views"
120,SEASON 6 - Project Alaska,The best petrol station of Belize 🇧🇿 (amazing system) |S6-E75| , 1 year , 20 ,"s 749,793 views"
121,SEASON 6 - Project Alaska,Crossing the landborder into MEXICO |S6-E76| , 1 year , 22 ,"s 852,317 views"
122,SEASON 6 - Project Alaska,Mexican POLICE keep stopping me for questioning |S6-E77| , 1 year , 21 ,"s 1,336,864 views"
123,SEASON 6 - Project Alaska,Riding into flooded forest in Mexico - in search for the Maya people |S6-E78| , 1 year , 26 ,"s 645,770 views"
124,SEASON 6 - Project Alaska,Mexico's most dangerous road? 🇲🇽 |S6-E79| , 1 year , 22 ,"s 777,527 views"
125,SEASON 6 - Project Alaska,Escaping more road blocks in Mexico 🇲🇽 |S6-E80| , 1 year , 25 ,"s 828,007 views"
126,SEASON 6 - Project Alaska,Trying to save baby sea turtles on Mexican beach |S6-E81| , 1 year , 37 ,"s 762,270 views"
127,SEASON 6 - Project Alaska,The BEST motorcycle shop of Mexico |S6-E82| , 1 year , 23 ,"s 718,870 views"
128,SEASON 6 - Project Alaska,“People with guns are blocking the road”. MEXICO 🇲🇽 |S6-E83| , 1 year , 31 ,"s 2,529,213 views"
129,SEASON 6 - Project Alaska,Mexican tunnels to secretly move the army against the invaders |S6-E84| , 1 year , 22 ,"s 658,030 views"
130,SEASON 6 - Project Alaska,The biggest time telling device on Earth - in Mexico 🇲🇽 |S6-E85| , 1 year , 23 ,"s 676,222 views"
131,SEASON 6 - Project Alaska,I rode into a dead end canyon in Mexico 🇲🇽 |S6-E86| , 1 year , 22 ,"s 586,664 views"
132,SEASON 6 - Project Alaska,Motorcycling planet MARS in MEXICO (unbelievable landscape) |S6-E87| , 1 year , 35 ,"s 956,771 views"
133,SEASON 6 - Project Alaska,This is not what I expected solo motorcycling through Mexico to be like 🇲🇽 |S6-E88| , 1 year , 29 ,"s 663,847 views"
134,SEASON 6 - Project Alaska,“The road is bad like this everywhere?” - Mexico 🇲🇽 |S6-E89| , 1 year , 28 ,"s 691,723 views"
135,SEASON 6 - Project Alaska,"""Don't go there, very dangerous. A lot of cartel activity"" - Mexico 🇲🇽 |S6-E90| ", 1 year , 22 ,"s 849,416 views"
136,SEASON 6 - Project Alaska,Area 51 in Mexico: the ZONE of SILENCE 🇲🇽 |S6-E91| , 1 year , 27 ,"s 2,267,228 views"
137,SEASON 6 - Project Alaska,Motorcycling Mexico's most dangerous state : Chihuahua |S6-92| , 1 year , 20 ,"s 2,581,185 views"
138,SEASON 6 - Project Alaska,Entering Cartel Territory - off-roading the COPPER CANYON in Mexico |S6-E93| , 1 year , 22 ,"s 819,735 views"
139,SEASON 6 - Project Alaska,Getting out of Mexico's Copper Canyon into SINALOA |S6-E94| , 1 year , 25 ,"s 693,802 views"
140,SEASON 6 - Project Alaska,Leaving SINALOA in Mexico during nighttime 🇲🇽 |S6-E95| , 1 year , 23 ,"s 972,420 views"
141,SEASON 6 - Project Alaska,Brand new aggressive offroad tires to ride BAJA - MEXICO |S6-E96| , 11 months , 22 ,"s 706,490 views"
142,SEASON 6 - Project Alaska,Searching for FUEL in the BAJA CALIFORNIA desert of Mexico |S6-E97| , 11 months , 20 ,"s 734,603 views"
143,SEASON 6 - Project Alaska,"I ended up in a rally through Baja, Mexico by accident |S6-E98| ", 11 months , 24 ,"s 762,089 views"
144,SEASON 6 - Project Alaska,They only live here for 3 months each year |S6-E99| , 11 months , 27 ,"s 687,540 views"
145,SEASON 6 - Project Alaska,Crossing MEXICO - USA 🇺🇸 land border on a motorcycle |S6-E100| , 11 months , 28 ,"s 1,641,066 views"
146,SEASON 5 - Southern Africa,I AM BACK!! [S5 - Eps. 1] , 2 years , 9 ,"s, 36 seconds 641,037 views"
147,SEASON 5 - Southern Africa,I bought a South African motorcycle! 🇿🇦[S5 - Eps. 2] , 2 years , 16 ,"s 1,183,511 views"
148,SEASON 5 - Southern Africa,Ready to hit African dirt roads 🇿🇦 [S5 - Eps. 3] , 2 years , 12 ,"s, 4 seconds 631,179 views"
149,SEASON 5 - Southern Africa,My first motorcycle ride in South Africa 🇿🇦 [S5 - Eps. 4] , 2 years , 17 ,"s 580,933 views"
150,SEASON 5 - Southern Africa,I CAN'T continue... 🇿🇦 [S5 - Eps. 5] , 2 years , 22 ,"s 1,978,758 views"
151,SEASON 5 - Southern Africa,I woke up to this.. 🇿🇦[S5 - Eps. 6] , 2 years , 15 ,"s 718,522 views"
152,SEASON 5 - Southern Africa,ADVENTURE riding some of South Africa's incredible dirt roads! 🇿🇦 [S5 - Eps. 7] , 2 years , 19 ,"s 540,733 views"
153,SEASON 5 - Southern Africa,The BIGGEST green canyon in the world 🇿🇦 [S5 - Eps. 8] , 2 years , 19 ,"s 481,548 views"
154,SEASON 5 - Southern Africa,2 BILLION ounces of GOLD were mined here 🇿🇦 [S5 - Eps. 9] , 2 years , 20 ,"s 419,660 views"
155,SEASON 5 - Southern Africa,The long way round SWAZILAND [S5 - Eps. 10] , 2 years , 16 ,"s 470,721 views"
156,SEASON 5 - Southern Africa,Meeting the ENDANGERED cats of South Africa 🇿🇦[S5 - Eps. 11] , 2 years , 22 ,"s 417,190 views"
157,SEASON 5 - Southern Africa,Riding through the heart of KWAZULU NATAL 🇿🇦[S5 - Eps. 12] , 2 years , 18 ,"s 364,511 views"
158,SEASON 5 - Southern Africa,South Africa’s DRAGONS MOUNTAIN 🏔 [S5 - Eps. 13] , 2 years , 18 ,"s 359,766 views"
159,SEASON 5 - Southern Africa,Attempt to ride Sani Pass on a Honda CRF250L - it's HECTIC!! [S5 - Eps. 14] , 2 years , 29 ,"s 641,109 views"
160,SEASON 5 - Southern Africa,Naude's Nek Pass - worse than Sani Pass?? [S5 - Eps. 15] , 2 years , 18 ,"s 436,335 views"
161,SEASON 5 - Southern Africa,I am joining a XHOSA community in South Africa 🇿🇦 [S5 - Eps. 16] , 2 years , 19 ,"s 421,465 views"
162,SEASON 5 - Southern Africa,I went to see a Xhosa herbalist 🇿🇦 [S5 - Eps. 17] , 2 years , 29 ,"s 275,868 views"
163,SEASON 5 - Southern Africa,Meeting the headman of a Xhosa village [S5 - Eps. 18] , 2 years , 26 ,"s 231,997 views"
164,SEASON 5 - Southern Africa,Riding solo back towards the mountains of SOUTH AFRICA [S5 - Eps. 19] , 2 years , 21 ,"s 331,400 views"
165,SEASON 5 - Southern Africa,This day turned out differently... [S5 - Eps. 20] , 2 years , 18 ,"s 326,292 views"
166,SEASON 5 - Southern Africa,Running out of petrol in Baviaanskloof - oh no...  [S5 - Eps. 21] , 2 years , 22 ,"s 467,729 views"
167,SEASON 5 - Southern Africa,BACK ON THE ROAD [S5 - Eps. 22] , 2 years , 23 ,"s 380,364 views"
168,SEASON 5 - Southern Africa,The ROAD TO HELL on a Honda CRF250L 🇿🇦[S5 - Eps. 23] , 2 years , 22 ,"s 475,443 views"
169,SEASON 5 - Southern Africa,Nothing is what is seems in South Africa 🇿🇦 [S5 - Eps. 24] , 2 years , 19 ,"s 392,934 views"
170,SEASON 5 - Southern Africa,A 5.000 kilometers solo journey through South-Africa! 🇿🇦 [S5 - Eps. 25] , 2 years , 21 ,"s 360,899 views"
171,SEASON 5 - Southern Africa,The final ride to CAPETOWN!! 🇿🇦 [S5 - Eps. 26] , 2 years , 11 ,"s, 58 seconds 315,938 views"
172,SEASON 5 - Southern Africa,The ghost ship FLYING DUTCHMAN still haunts these waters... 🇿🇦 [S5 - Eps. 27] , 2 years , 16 ,"s 329,930 views"
173,SEASON 5 - Southern Africa,Why is Table mountain in Cape Town FLAT?! [S5 - Eps. 28] , 2 years , 18 ,"s 334,864 views"
174,SEASON 5 - Southern Africa,I can't believe they found THIS in South Africa!! [S5 - Eps. 29] , 2 years , 23 ,"s 2,154,028 views"
175,SEASON 5 - Southern Africa,How did I end up on the BEACH?! [S5 - Eps. 30] , 2 years , 24 ,"s 347,586 views"
176,SEASON 5 - Southern Africa,Crossing South Africa's Karoo desert. ALONE. [S5 - Eps. 31] , 2 years , 24 ,"s 601,827 views"
177,SEASON 5 - Southern Africa,Why did petroleum engineers come here?! [S5 - Eps. 32] , 2 years , 21 ,"s 337,047 views"
178,SEASON 5 - Southern Africa,I entered Namaqualand - is this another planet? [S5 - Eps. 33] , 2 years , 19 ,"s 347,326 views"
179,SEASON 5 - Southern Africa,I entered South Africa's Diamond Territory [S5 - Eps. 34] , 2 years , 20 ,"s 307,685 views"
180,SEASON 5 - Southern Africa,How did I get myself into this situation?! [S5 - Eps. 35] , 2 years , 23 ,"s 423,145 views"
181,SEASON 5 - Southern Africa,190 kilometers struggle through SAND in South African desert [S5 - Eps. 36] , 2 years , 20 ,"s 401,464 views"
182,SEASON 5 - Southern Africa,Preparing to motorcycle NAMIBIA on my Honda CRF250L [S5 - Eps. 37] , 2 years , 16 ,"s 357,908 views"
183,SEASON 5 - Southern Africa,Crossing into NAMIBIA [S5 - Eps. 38] , 2 years , 27 ,"s 1,508,312 views"
184,SEASON 5 - Southern Africa,I had to ride HARD ENDURO to get here! [S5 - Eps. 39] , 2 years , 21 ,"s 358,656 views"
185,SEASON 5 - Southern Africa,Shall I just do it? [S5 - Eps. 40] , 2 years , 19 ,"s 408,581 views"
186,SEASON 5 - Southern Africa,There are around 300 of them in Namibia! [S5 - Eps. 41] , 2 years , 18 ,"s 362,151 views"
187,SEASON 5 - Southern Africa,An abandoned diamond mining town in Namibia [S5 - Eps. 42] , 2 years , 17 ,"s 364,475 views"
188,SEASON 5 - Southern Africa,A geological illusion in Namibia 🇳🇦 [S5 - Eps. 43] , 2 years , 22 ,"s 331,610 views"
189,SEASON 5 - Southern Africa,The day I became a Namibian cattle farmer 👩‍🌾 [S5 - Eps. 44] , 2 years , 25 ,"s 369,368 views"
190,SEASON 5 - Southern Africa,Crossing the NAMIB DESERT 🌵[S5 - Eps. 45] , 2 years , 23 ,"s 399,321 views"
191,SEASON 5 - Southern Africa,I have to get this fixed first! 🔧 [S5 - Eps. 46] , 2 years , 23 ,"s 410,880 views"
192,SEASON 5 - Southern Africa,I can't believe I saw one!! So incredibly lucky! 🍀 [S5 - Eps. 47] , 2 years , 20 ,"s 403,452 views"
193,SEASON 5 - Southern Africa,A Namibian APOCALYPSE ☠️ [S5 - Eps. 48] , 2 years , 20 ,"s 328,054 views"
194,SEASON 5 - Southern Africa,Caught in a sandstorm in Namibia 🇳🇦 [S5 - Eps. 49] , 2 years , 26 ,"s 414,475 views"
195,SEASON 5 - Southern Africa,Rescuing seals stuck in fishing lines in Namibia 🦭 [S5 - Eps. 50] , 1 year , 23 ,"s 320,290 views"
196,SEASON 5 - Southern Africa,Finding gemstones in Namibia 💎[S5 - Eps. 51] , 1 year , 24 ,"s 352,142 views"
197,SEASON 5 - Southern Africa,One of the most inhospitable places on earth 🌏 [S5 - Eps. 52] , 1 year , 25 ,"s 487,397 views"
198,SEASON 5 - Southern Africa,Only one plant can grow here. EXTREME NAMIBIA! 🌋 [S5 - Eps. 53] , 1 year , 24 ,"s 314,699 views"
199,SEASON 5 - Southern Africa,Change my CRF250L for a Honda Africa Twin from 1988 with 150.000 kilometres?! [S5 - Eps. 54] , 1 year , 22 ,"s 656,449 views"
200,SEASON 5 - Southern Africa,Hidden secrets of Namibia! [S5 - Eps. 55] , 1 year , 20 ,"s 305,749 views"
201,SEASON 5 - Southern Africa,Finding Namibia's DESERT ELEPHANTS! [S5 - Eps. 56] , 1 year , 17 ,"s 253,260 views"
